TABLE_CAT	TABLE_SCHEM	TABLE_NAME	TABLE_TYPE	REMARKS
CABS	sys	server_permissions	VIEW	<null>
CABS	sys	server_principals	VIEW	<null>
CABS	sys	server_role_members	VIEW	<null>
CABS	sys	server_sql_modules	VIEW	<null>
CABS	sys	server_trigger_events	VIEW	<null>
CABS	sys	server_triggers	VIEW	<null>
CABS	sys	servers	VIEW	<null>
CABS	sys	service_broker_endpoints	VIEW	<null>
CABS	sys	service_contract_message_usages	VIEW	<null>
CABS	sys	service_contract_usages	VIEW	<null>
CABS	sys	service_contracts	VIEW	<null>
CABS	sys	service_message_types	VIEW	<null>
CABS	sys	service_queue_usages	VIEW	<null>
CABS	sys	service_queues	VIEW	<null>
CABS	sys	services	VIEW	<null>
CABS	sys	soap_endpoints	VIEW	<null>
CABS	sys	sql_dependencies	VIEW	<null>
CABS	sys	sql_logins	VIEW	<null>
CABS	sys	sql_modules	VIEW	<null>
CABS	sys	stats	VIEW	<null>
CABS	sys	stats_columns	VIEW	<null>
CABS	sys	symmetric_keys	VIEW	<null>
CABS	sys	synonyms	VIEW	<null>
CABS	sys	sysaltfiles	VIEW	<null>
CABS	sys	syscacheobjects	VIEW	<null>
CABS	sys	syscharsets	VIEW	<null>
CABS	sys	syscolumns	VIEW	<null>
CABS	sys	syscomments	VIEW	<null>
CABS	sys	sysconfigures	VIEW	<null>
CABS	sys	sysconstraints	VIEW	<null>
CABS	sys	syscurconfigs	VIEW	<null>
CABS	sys	syscursorcolumns	VIEW	<null>
CABS	sys	syscursorrefs	VIEW	<null>
CABS	sys	syscursors	VIEW	<null>
CABS	sys	syscursortables	VIEW	<null>
CABS	sys	sysdatabases	VIEW	<null>
CABS	sys	sysdepends	VIEW	<null>
CABS	sys	sysdevices	VIEW	<null>
CABS	sys	sysfilegroups	VIEW	<null>
CABS	sys	sysfiles	VIEW	<null>
CABS	sys	sysforeignkeys	VIEW	<null>
CABS	sys	sysfulltextcatalogs	VIEW	<null>
CABS	sys	sysindexes	VIEW	<null>
CABS	sys	sysindexkeys	VIEW	<null>
CABS	sys	syslanguages	VIEW	<null>
CABS	sys	syslockinfo	VIEW	<null>
CABS	sys	syslogins	VIEW	<null>
CABS	sys	sysmembers	VIEW	<null>
CABS	sys	sysmessages	VIEW	<null>
CABS	sys	sysobjects	VIEW	<null>
CABS	sys	sysoledbusers	VIEW	<null>
CABS	sys	sysopentapes	VIEW	<null>
CABS	sys	sysperfinfo	VIEW	<null>
CABS	sys	syspermissions	VIEW	<null>
CABS	sys	sysprocesses	VIEW	<null>
CABS	sys	sysprotects	VIEW	<null>
CABS	sys	sysreferences	VIEW	<null>
CABS	sys	sysremotelogins	VIEW	<null>
CABS	sys	syssegments	VIEW	<null>
CABS	sys	sysservers	VIEW	<null>
CABS	sys	system_columns	VIEW	<null>
